run_id,n,statuses,verdicts,throughput_p50,throughput_p95,throughput_n,rtt_p50,rtt_p95,rtt_n,ttfo_n_null,delfrac_p50,jain_min,jain_p50,jain_n,artifact_thr_p50,artifact_thr_p95,artifact_thr_n
bw-100mbps-moqrs,1,pass,good,286333.0,286333.0,1,23.7041,23.7041,1,1,0.997796,,,0,285600.0,285600.0,1
bw-10mbps-chain,1,pass,good,285385.0,285385.0,1,11.0875,11.0875,1,1,0.997796,,,0,284654.3046357616,284654.3046357616,1
bw-10mbps-fanout-4sub-bottleneck,1,pass,mismatch,284443.0,284443.0,1,44.9198,44.9198,1,1,0.997796,,,0,283714.85148514854,283714.85148514854,1
bw-10mbps-imquic-relay,1,fail,mismatch,0.0,0.0,1,,,0,1,0.0,,,0,,,0
bw-10mbps-imquic-self,1,pass,mismatch,2570.0,2570.0,1,10.622,10.622,1,1,0.060174,,,0,2570.5242334322456,2570.5242334322456,1
bw-10mbps-imquic-sub,1,fail,mismatch,183.0,183.0,1,58.7783,58.7783,1,1,0.012763,,,0,183.39710530693728,183.39710530693728,1
bw-10mbps-moqrs,1,pass,good,286333.0,286333.0,1,12.7992,12.7992,1,1,0.997796,,,0,285600.0,285600.0,1
bw-10mbps-moxygen-relay,1,fail,mismatch,0.0,0.0,1,,,0,1,0.0,,,0,,,0
bw-10mbps-moxygen-relay-imquic-sub,1,fail,mismatch,110.0,110.0,1,,,0,1,0.007715,,,0,110.49577184546509,110.49577184546509,1
bw-1mbps-moqrs,1,pass,good,286333.0,286333.0,1,10.6664,10.6664,1,1,0.997796,,,0,285600.0,285600.0,1
bw-20mbps-chain,1,pass,good,286333.0,286333.0,1,12.7613,12.7613,1,1,0.997796,,,0,285600.0,285600.0,1
bw-20mbps-fanout-3sub,1,pass,mismatch,286333.0,286333.0,1,46.5481,46.5481,1,1,0.997796,,,0,285600.0,285600.0,1
bw-20mbps-fanout-3sub-asymmetric,1,pass,mismatch,286333.0,286333.0,1,47.1987,47.1987,1,1,0.997796,,,0,285600.0,285600.0,1
bw-20mbps-moqrs,1,pass,good,286333.0,286333.0,1,8.2323,8.2323,1,1,0.997796,,,0,285600.0,285600.0,1
bw-20mbps-moxygen-self,1,fail,mismatch,0.0,0.0,1,,,0,1,0.0,,,0,,,0
bw-2mbps-moqrs,1,pass,good,286333.0,286333.0,1,52.4646,52.4646,1,1,0.997796,,,0,285600.0,285600.0,1
bw-50mbps-chain,1,pass,good,286333.0,286333.0,1,14.6764,14.6764,1,1,0.997796,,,0,285600.0,285600.0,1
bw-50mbps-imquic-self,1,pass,mismatch,2665.0,2665.0,1,57.25,57.25,1,1,0.064712,,,0,2665.52217453505,2665.52217453505,1
bw-50mbps-moqrs,1,pass,good,286333.0,286333.0,1,50.2412,50.2412,1,1,0.997796,,,0,285600.0,285600.0,1
bw-50mbps-moxygen-self,1,fail,mismatch,0.0,0.0,1,,,0,1,0.0,,,0,,,0
bw-5mbps-moqrs,1,pass,good,281654.0,281654.0,1,8.8981,8.8981,1,1,0.997796,,,0,280933.3333333333,280933.3333333333,1
bw-5mbps-moxygen-self,1,fail,mismatch,0.0,0.0,1,,,0,1,0.0,,,0,,,0
