run_id,n,statuses,verdicts,throughput_p50,throughput_p95,throughput_n,rtt_p50,rtt_p95,rtt_n,ttfo_n_null,delfrac_p50,jain_min,jain_p50,jain_n,artifact_thr_p50,artifact_thr_p95,artifact_thr_n
imquic-relay-d16-baseline,1,fail,mismatch,0.0,0.0,1,13.336,13.336,1,1,0.0,,,0,,,0
imquic-relay-d18-baseline,1,fail,mismatch,0.0,0.0,1,32.111,32.111,1,1,0.0,,,0,,,0
imquic-relay-loss1pct,1,fail,mismatch,0.0,0.0,1,,,0,1,0.0,,,0,,,0
imquic-relay-sub-d16-baseline,1,fail,mismatch,579.0,579.0,1,13.691,13.691,1,1,0.010243,,,0,579.4368041912246,579.4368041912246,1
imquic-sub-d16-baseline,1,fail,mismatch,572.0,572.0,1,35.2238,35.2238,1,1,0.010114,,,0,572.4770642201835,572.4770642201835,1
imquic-sub-loss1pct,1,fail,mismatch,729.0,729.0,1,70.109,70.109,1,1,0.012753,,,0,729.0536068828591,729.0536068828591,1
moqrs-d14-baseline,1,partial,mismatch,6126.0,6126.0,1,29.6819,29.6819,1,1,0.106668,,,0,5979.255319148937,5979.255319148937,1
moqrs-d16-baseline,1,partial,mismatch,6029.0,6029.0,1,26.6997,26.6997,1,1,0.106668,,,0,5885.340314136126,5885.340314136126,1
moqrs-d18-baseline,1,pass,mismatch,287288.0,287288.0,1,11.6877,11.6877,1,1,5.103411,,,0,55712.0,55712.0,1
moqrs-loss1pct,1,pass,mismatch,287288.0,287288.0,1,11.7741,11.7741,1,1,5.103411,,,0,55712.0,55712.0,1
moqrs-loss5pct,1,pass,mismatch,287288.0,287288.0,1,28.4588,28.4588,1,1,5.103411,,,0,55712.0,55712.0,1
moqrs-pub-imquic-relay-imquic-sub-d18-baseline,1,fail,mismatch,587.0,587.0,1,34.462,34.462,1,1,0.010281,,,0,587.6902713434812,587.6902713434812,1
moqrs-pub-moqrs-relay-imquic-sub,1,fail,mismatch,739.0,739.0,1,30.7878,30.7878,1,1,0.012874,,,0,739.853626081171,739.853626081171,1
moqrs-pub-moqrs-relay-moxygen-sub,1,fail,mismatch,0.0,0.0,1,68.0888,68.0888,1,1,0.0,,,0,,,0
moqrs-pub-moxygen-relay-imquic-sub,1,fail,mismatch,435.0,435.0,1,,,0,1,0.007715,,,0,435.2710646636185,435.2710646636185,1
moqrs-pub-moxygen-relay-moxygen-sub,1,fail,mismatch,0.0,0.0,1,,,0,1,0.0,,,0,,,0
moxygen-d18-baseline,1,partial,mismatch,6909323.0,6909323.0,1,,,0,1,0.1079,,,0,6909323.865877711,6909323.865877711,1
moxygen-pub-imquic-relay-imquic-sub,1,fail,mismatch,576.0,576.0,1,37.125,37.125,1,1,0.010016,,,0,576.9028871391076,576.9028871391076,1
moxygen-pub-imquic-relay-moqrs-sub,1,fail,mismatch,0.0,0.0,1,31.073,31.073,1,1,0.0,,,0,,,0
moxygen-pub-imquic-relay-moxygen-sub,1,fail,None,0.0,0.0,1,19.286,19.286,1,1,0.0,,,0,,,0
moxygen-pub-moqrs-relay-moqrs-sub,1,fail,mismatch,0.0,0.0,1,37.4829,37.4829,1,1,0.0,,,0,,,0
moxygen-pub-moqrs-relay-moxygen-sub,1,fail,mismatch,0.0,0.0,1,41.3162,41.3162,1,1,0.0,,,0,,,0
moxygen-pub-moxygen-relay-moqrs-sub,1,fail,mismatch,0.0,0.0,1,,,0,1,0.0,,,0,,,0
moxygen-relay-d16-baseline,1,fail,mismatch,0.0,0.0,1,,,0,1,0.0,,,0,,,0
moxygen-relay-d18-baseline,1,fail,mismatch,0.0,0.0,1,,,0,1,0.0,,,0,,,0
moxygen-relay-imquic-sub-d16,1,fail,mismatch,442.0,442.0,1,,,0,1,0.007715,,,0,442.7906976744186,442.7906976744186,1
moxygen-relay-imquic-sub-loss1pct,1,fail,mismatch,442.0,442.0,1,,,0,1,0.007715,,,0,442.2030524220305,442.2030524220305,1
moxygen-relay-loss1pct,1,fail,mismatch,0.0,0.0,1,,,0,1,0.0,,,0,,,0
