run_id,n,statuses,verdicts,throughput_p50,throughput_p95,throughput_n,rtt_p50,rtt_p95,rtt_n,ttfo_n_null,delfrac_p50,jain_min,jain_p50,jain_n,artifact_thr_p50,artifact_thr_p95,artifact_thr_n
bw-100mbps,1,pass,good,281654.0,281654.0,1,46.3501,46.3501,1,1,0.997796,,,0,280933.3333333333,280933.3333333333,1
bw-10mbps,1,pass,good,281654.0,281654.0,1,9.2972,9.2972,1,1,0.997796,,,0,280933.3333333333,280933.3333333333,1
bw-1mbps,1,pass,good,286333.0,286333.0,1,9.6062,9.6062,1,1,0.997796,,,0,285600.0,285600.0,1
bw-50mbps,1,pass,good,262763.0,262763.0,1,18.8506,18.8506,1,1,0.997796,,,0,262090.24390243905,262090.24390243905,1
bw-5mbps,1,pass,good,286333.0,286333.0,1,32.5744,32.5744,1,1,0.997796,,,0,285600.0,285600.0,1
lat-100ms,1,pass,good,286333.0,286333.0,1,9.022,9.022,1,1,0.997796,,,0,285600.0,285600.0,1
lat-200ms,1,pass,good,286333.0,286333.0,1,435.4205,435.4205,1,1,0.997796,,,0,285600.0,285600.0,1
lat-20ms,1,pass,good,286333.0,286333.0,1,9.307,9.307,1,1,0.997796,,,0,285600.0,285600.0,1
lat-50ms,1,pass,good,277126.0,277126.0,1,115.0027,115.0027,1,1,0.997796,,,0,276416.72025723476,276416.72025723476,1
lat-5ms,1,pass,good,286333.0,286333.0,1,8.9896,8.9896,1,1,0.997796,,,0,285600.0,285600.0,1
loss-0.1pct,1,pass,good,286333.0,286333.0,1,45.1658,45.1658,1,1,0.997796,,,0,285600.0,285600.0,1
loss-0.5pct,1,pass,good,286333.0,286333.0,1,12.7427,12.7427,1,1,0.997796,,,0,285600.0,285600.0,1
loss-0pct,1,pass,good,286333.0,286333.0,1,72.153,72.153,1,1,0.997796,,,0,285600.0,285600.0,1
loss-10pct,1,pass,good,284443.0,284443.0,1,9.7756,9.7756,1,1,0.997796,,,0,283714.85148514854,283714.85148514854,1
loss-1pct,1,pass,good,286333.0,286333.0,1,13.1274,13.1274,1,1,0.997796,,,0,285600.0,285600.0,1
loss-20pct,1,pass,good,255745.0,255745.0,1,7.8427,7.8427,1,1,0.997796,,,0,255090.8011869436,255090.8011869436,1
loss-2pct,1,pass,good,286333.0,286333.0,1,27.6236,27.6236,1,1,0.997796,,,0,285600.0,285600.0,1
loss-5pct,1,pass,mismatch,42456.0,42456.0,1,8.9087,8.9087,1,1,0.997796,,,0,17163.743842364533,17163.743842364533,1
