run_id,n,statuses,verdicts,throughput_p50,throughput_p95,throughput_n,rtt_p50,rtt_p95,rtt_n,ttfo_n_null,delfrac_p50,jain_min,jain_p50,jain_n,artifact_thr_p50,artifact_thr_p95,artifact_thr_n
impair-bw5,1,pass,mismatch,286333.0,286333.0,1,19.695,19.695,1,1,5.103411,,,0,55526.91029900333,55526.91029900333,1
impair-delay100,1,pass,mismatch,287288.0,287288.0,1,216.0224,216.0224,1,1,5.103411,,,0,55712.0,55712.0,1
impair-loss1,1,pass,mismatch,287288.0,287288.0,1,47.8947,47.8947,1,1,5.103411,,,0,55712.0,55712.0,1
impair-loss5,1,pass,mismatch,287288.0,287288.0,1,46.5048,46.5048,1,1,5.103411,,,0,55712.0,55712.0,1
imquic-relay-d16-baseline,1,fail,mismatch,0.0,0.0,1,13.804,13.804,1,1,0.0,,,0,,,0
imquic-relay-d18-baseline,1,fail,mismatch,0.0,0.0,1,32.111,32.111,1,1,0.0,,,0,,,0
imquic-relay-sub-d16-baseline,1,fail,mismatch,587.0,587.0,1,13.691,13.691,1,1,0.010243,,,0,587.9069767441861,587.9069767441861,1
imquic-sub-d16-baseline,1,fail,mismatch,582.0,582.0,1,35.2238,35.2238,1,1,0.010114,,,0,582.0119920053298,582.0119920053298,1
imquic-sub-d18-baseline,1,fail,mismatch,736.0,736.0,1,34.1002,34.1002,1,1,0.01279,,,0,736.0426382411725,736.0426382411725,1
moqrs-d14-baseline,1,partial,mismatch,6134.0,6134.0,1,29.6819,29.6819,1,1,0.106668,,,0,5987.217043941411,5987.217043941411,1
moqrs-d16-baseline,1,partial,mismatch,6138.0,6138.0,1,42.3583,42.3583,1,1,0.106668,,,0,5991.205862758161,5991.205862758161,1
moqrs-d18-baseline,1,pass,mismatch,287288.0,287288.0,1,11.6877,11.6877,1,1,5.103411,,,0,55712.0,55712.0,1
moqrs-pub-imquic-relay-imquic-sub-d18-baseline,1,fail,mismatch,591.0,591.0,1,34.462,34.462,1,1,0.010281,,,0,591.6055962691539,591.6055962691539,1
moxygen-relay-d14-baseline,1,fail,mismatch,0.0,0.0,1,,,0,1,0.0,,,0,,,0
moxygen-relay-d16-baseline,1,fail,mismatch,0.0,0.0,1,,,0,1,0.0,,,0,,,0
moxygen-relay-d18-baseline,1,fail,mismatch,0.0,0.0,1,,,0,1,0.0,,,0,,,0
moxygen-relay-imquic-sub-d16-baseline,1,fail,mismatch,443.0,443.0,1,,,0,1,0.007715,,,0,443.9706862091939,443.9706862091939,1
moxygen-relay-imquic-sub-d18-baseline,1,fail,mismatch,443.0,443.0,1,,,0,1,0.007715,,,0,443.6750998668442,443.6750998668442,1
