run_id,n,statuses,verdicts,throughput_p50,throughput_p95,throughput_n,rtt_p50,rtt_p95,rtt_n,ttfo_n_null,delfrac_p50,jain_min,jain_p50,jain_n,artifact_thr_p50,artifact_thr_p95,artifact_thr_n
lat-100ms-basic,1,pass,good,286333.0,286333.0,1,10.0746,10.0746,1,1,0.997796,,,0,285600.0,285600.0,1
lat-100ms-chain,1,pass,mismatch,284443.0,284443.0,1,9.4868,9.4868,1,1,0.997796,,,0,283714.85148514854,283714.85148514854,1
lat-100ms-imquic-self,1,pass,mismatch,2521.0,2521.0,1,13.564,13.564,1,1,0.060174,,,0,2521.8825812712275,2521.8825812712275,1
lat-100ms-moxygen-self,1,fail,mismatch,0.0,0.0,1,,,0,1,0.0,,,0,,,0
lat-10ms-basic,1,pass,good,276238.0,276238.0,1,32.738,32.738,1,1,0.997796,,,0,275530.76923076925,275530.76923076925,1
lat-10ms-chain,1,pass,good,286333.0,286333.0,1,7.9144,7.9144,1,1,0.997796,,,0,285600.0,285600.0,1
lat-10ms-fanout,1,pass,mismatch,286333.0,286333.0,1,29.1205,29.1205,1,1,0.997796,,,0,285600.0,285600.0,1
lat-10ms-moxygen-self,1,fail,mismatch,0.0,0.0,1,,,0,1,0.0,,,0,,,0
lat-200ms-basic,1,pass,good,285385.0,285385.0,1,10.989,10.989,1,1,0.997796,,,0,284654.3046357616,284654.3046357616,1
lat-20ms-basic,1,pass,good,286333.0,286333.0,1,48.1977,48.1977,1,1,0.997796,,,0,285600.0,285600.0,1
lat-20ms-imquic-self,1,pass,mismatch,2577.0,2577.0,1,60.514,60.514,1,1,0.060164,,,0,2577.777777777778,2577.777777777778,1
lat-50ms-basic,1,pass,good,280737.0,280737.0,1,106.1285,106.1285,1,1,0.997796,,,0,280018.2410423453,280018.2410423453,1
lat-50ms-chain,1,pass,good,286333.0,286333.0,1,12.857,12.857,1,1,0.997796,,,0,285600.0,285600.0,1
lat-50ms-fanout,1,pass,mismatch,286333.0,286333.0,1,11.4237,11.4237,1,1,0.997796,,,0,285600.0,285600.0,1
lat-50ms-imquic-relay,1,fail,mismatch,0.0,0.0,1,,,0,1,0.0,,,0,,,0
lat-50ms-imquic-sub,1,fail,mismatch,181.0,181.0,1,14.6757,14.6757,1,1,0.012753,,,0,181.99240046258055,181.99240046258055,1
lat-50ms-moxygen-relay,1,fail,mismatch,0.0,0.0,1,,,0,1,0.0,,,0,,,0
lat-50ms-moxygen-self,1,fail,mismatch,0.0,0.0,1,,,0,1,0.0,,,0,,,0
lat-5ms-basic,1,pass,good,286333.0,286333.0,1,16.0096,16.0096,1,1,0.997796,,,0,285600.0,285600.0,1
