run_id,n,statuses,verdicts,throughput_p50,throughput_p95,throughput_n,rtt_p50,rtt_p95,rtt_n,ttfo_n_null,delfrac_p50,jain_min,jain_p50,jain_n,artifact_thr_p50,artifact_thr_p95,artifact_thr_n
loss-0.1pct-moqrs,3,partial+partial+partial,mismatch+mismatch+mismatch,2090163.0,2553304.8000000003,3,63.2808,137.03067,3,3,0.143701,,,0,2090153.274682307,2553281.9941348974,3
loss-0.5pct-moqrs,3,pass+pass+pass,mismatch+mismatch+mismatch,14054774.0,14112788.899999999,3,22.9288,53.13622,3,3,0.999967,,,0,9622459.949622165,10225187.876980245,3
loss-0pct-moqrs,3,partial+partial+pass,mismatch+mismatch+mismatch,10794561.0,13816985.1,3,65.3486,327.21592999999996,3,3,0.93583,,,0,10794561.550387597,11721837.220352646,3
loss-0pct-moxygen-self,3,fail+fail+fail,mismatch+mismatch+mismatch,0.0,0.0,3,,,0,3,0.0,,,0,,,0
loss-10pct-chain,3,partial+pass+pass,mismatch+mismatch+mismatch,10517898.0,14055241.799999999,3,49.9465,63.184960000000004,3,3,0.999967,,,0,5805979.2648444865,9798028.6045877,3
loss-10pct-moqrs,3,partial+pass+pass,mismatch+mismatch+mismatch,14403989.0,14441746.7,3,99.8038,602.9387199999999,3,3,0.999967,,,0,9598106.40776699,11007950.001860918,3
loss-1pct-chain,3,pass+pass+pass,mismatch+mismatch+mismatch,14139361.0,14354559.1,3,50.3422,426.20829999999995,3,3,0.999967,,,0,7350379.384764052,12030163.853704033,3
loss-1pct-fanout-3sub,3,partial+partial+pass,mismatch+mismatch+mismatch,2489735.0,7316290.999999999,3,56.3475,65.71731,3,3,0.173598,,,0,2489627.630522088,7113630.220172448,3
loss-1pct-fanout-3sub-asymmetric,3,partial+partial+partial,mismatch+mismatch+mismatch,7849149.0,8058870.6,3,8.567,45.8045,3,3,0.534361,,,0,139.25633432050017,139.50426844688684,3
loss-1pct-imquic-relay,3,fail+fail+fail,mismatch+mismatch+mismatch,0.0,0.0,3,13.737,13.737,1,3,0.0,,,0,,,0
loss-1pct-imquic-self,3,pass+pass+pass,mismatch+mismatch+mismatch,2753.0,2754.7999999999997,3,15.767,135.14299999999997,3,3,6.3e-05,,,0,2753.103448275862,2754.994607284419,3
loss-1pct-imquic-sub,3,fail+fail+fail,mismatch+mismatch+mismatch,182.0,182.0,3,16.248,54.77979,3,3,1.2e-05,,,0,182.54677926809075,182.9285368479709,3
loss-1pct-moqrs,3,pass+pass+pass,mismatch+mismatch+mismatch,13927601.0,14176901.9,3,12.2956,251.94237999999996,3,3,0.999967,,,0,7219910.782703887,11129176.937864773,3
loss-1pct-moxygen-relay,3,fail+fail+fail,mismatch+mismatch+mismatch,0.0,0.0,3,,,0,3,0.0,,,0,,,0
loss-1pct-moxygen-relay-imquic-sub,3,fail+fail+fail,mismatch+mismatch+mismatch,109.0,109.89999999999999,3,,,0,3,7e-06,,,0,109.47921800558568,110.65864499257852,3
loss-1pct-moxygen-self,3,fail+fail+fail,mismatch+mismatch+mismatch,0.0,0.0,3,,,0,3,0.0,,,0,,,0
loss-20pct-moqrs,3,pass+partial+pass,mismatch+mismatch+mismatch,14238584.0,16893310.4,3,8.7433,54.321549999999995,3,3,0.999967,,,0,12230001.020733653,16019070.383166935,3
loss-2pct-moqrs,3,pass+partial+partial,mismatch+mismatch+mismatch,1933257.0,13277242.199999997,3,9.8236,99.38079999999998,3,3,0.13235,,,0,1933234.6858638744,5810887.396285459,3
loss-5pct-chain,3,pass+pass+pass,mismatch+mismatch+mismatch,14431931.0,18061255.7,3,11.9847,17.81355,3,3,0.999967,,,0,9533698.286453282,17426673.936194446,3
loss-5pct-fanout-3sub,3,partial+partial+partial,mismatch+mismatch+mismatch,1625235.0,2069882.7,3,72.4876,105.89326,3,3,0.109989,,,0,1625234.9553128104,2069771.596062939,3
loss-5pct-imquic-self,3,pass+pass+pass,mismatch+mismatch+mismatch,2564.0,2666.6,3,18.895,19.93,3,3,5.8e-05,,,0,2564.183522446966,2667.069239818661,3
loss-5pct-moqrs,3,pass+pass+pass,mismatch+mismatch+mismatch,14424935.0,14452261.700000001,3,114.0694,143.01286000000002,3,3,0.999967,,,0,9753917.875647668,10879695.77220231,3
loss-5pct-moxygen-self,3,fail+fail+fail,mismatch+mismatch+mismatch,0.0,0.0,3,,,0,3,0.0,,,0,,,0
