run_id,n,statuses,verdicts,throughput_p50,throughput_p95,throughput_n,rtt_p50,rtt_p95,rtt_n,ttfo_n_null,delfrac_p50,jain_min,jain_p50,jain_n,artifact_thr_p50,artifact_thr_p95,artifact_thr_n
loss-0.1pct-moqrs,1,partial,mismatch,2604765.0,2604765.0,1,145.2251,145.2251,1,1,0.176454,,,0,2604740.7407407407,2604740.7407407407,1
loss-0.5pct-moqrs,1,pass,mismatch,14119235.0,14119235.0,1,22.9288,22.9288,1,1,0.999967,,,0,10292157.6466867,10292157.6466867,1
loss-0pct-moqrs,1,partial,mismatch,10794561.0,10794561.0,1,65.3486,65.3486,1,1,0.93583,,,0,10794561.550387597,10794561.550387597,1
loss-0pct-moxygen-self,1,fail,mismatch,0.0,0.0,1,,,0,1,0.0,,,0,,,0
loss-10pct-chain,1,partial,mismatch,46299.0,46299.0,1,49.9465,49.9465,1,1,0.003154,,,0,46298.717527129236,46298.717527129236,1
loss-10pct-moqrs,1,partial,mismatch,2539159.0,2539159.0,1,99.8038,99.8038,1,1,0.172408,,,0,2539129.2642692183,2539129.2642692183,1
loss-1pct-chain,1,pass,mismatch,14378470.0,14378470.0,1,467.9712,467.9712,1,1,0.999967,,,0,7350379.384764052,7350379.384764052,1
loss-1pct-fanout-3sub,1,partial,mismatch,2489735.0,2489735.0,1,66.7584,66.7584,1,1,0.173598,,,0,2489627.630522088,2489627.630522088,1
loss-1pct-fanout-3sub-asymmetric,1,partial,mismatch,7849149.0,7849149.0,1,8.567,8.567,1,1,0.534361,,,0,139.25633432050017,139.25633432050017,1
loss-1pct-imquic-relay,1,fail,mismatch,0.0,0.0,1,,,0,1,0.0,,,0,,,0
loss-1pct-imquic-self,1,pass,mismatch,2753.0,2753.0,1,13.507,13.507,1,1,6.3e-05,,,0,2753.103448275862,2753.103448275862,1
loss-1pct-imquic-sub,1,fail,mismatch,182.0,182.0,1,16.248,16.248,1,1,1.2e-05,,,0,182.54677926809075,182.54677926809075,1
loss-1pct-moqrs,1,pass,mismatch,13927601.0,13927601.0,1,278.5698,278.5698,1,1,0.999967,,,0,11563539.84399376,11563539.84399376,1
loss-1pct-moxygen-relay,1,fail,mismatch,0.0,0.0,1,,,0,1,0.0,,,0,,,0
loss-1pct-moxygen-relay-imquic-sub,1,fail,mismatch,109.0,109.0,1,,,0,1,7e-06,,,0,109.47921800558568,109.47921800558568,1
loss-1pct-moxygen-self,1,fail,mismatch,0.0,0.0,1,,,0,1,0.0,,,0,,,0
loss-20pct-moqrs,1,pass,mismatch,17188280.0,17188280.0,1,59.3858,59.3858,1,1,0.999967,,,0,16440078.090103967,16440078.090103967,1
loss-2pct-moqrs,1,pass,mismatch,14537685.0,14537685.0,1,7.76,7.76,1,1,0.999967,,,0,6241737.697443414,6241737.697443414,1
loss-5pct-chain,1,pass,mismatch,18464514.0,18464514.0,1,18.4612,18.4612,1,1,0.999967,,,0,18303671.230610132,18303671.230610132,1
loss-5pct-fanout-3sub,1,partial,mismatch,1625235.0,1625235.0,1,109.605,109.605,1,1,0.109989,,,0,1625234.9553128104,1625234.9553128104,1
loss-5pct-imquic-self,1,pass,mismatch,2564.0,2564.0,1,14.275,14.275,1,1,5.8e-05,,,0,2564.183522446966,2564.183522446966,1
loss-5pct-moqrs,1,pass,mismatch,14455298.0,14455298.0,1,32.6472,32.6472,1,1,0.999967,,,0,9753917.875647668,9753917.875647668,1
loss-5pct-moxygen-self,1,fail,mismatch,0.0,0.0,1,,,0,1,0.0,,,0,,,0
