run_id,n,statuses,verdicts,throughput_p50,throughput_p95,throughput_n,rtt_p50,rtt_p95,rtt_n,ttfo_n_null,delfrac_p50,jain_min,jain_p50,jain_n,artifact_thr_p50,artifact_thr_p95,artifact_thr_n
loss-0.1pct-moqrs,1,pass,mismatch,14304747.0,14304747.0,1,194.4905,194.4905,1,1,0.999967,,,0,8890619.06745714,8890619.06745714,1
loss-0.5pct-moqrs,1,pass,mismatch,13931948.0,13931948.0,1,109.7778,109.7778,1,1,0.999967,,,0,11787734.082397005,11787734.082397005,1
loss-0pct-moqrs,1,pass,mismatch,14070279.0,14070279.0,1,108.9837,108.9837,1,1,0.999967,,,0,12498338.597320724,12498338.597320724,1
loss-0pct-moxygen-self,1,fail,mismatch,0.0,0.0,1,,,0,1,0.0,,,0,,,0
loss-10pct-chain,1,pass,mismatch,13984324.0,13984324.0,1,7.3646,7.3646,1,1,0.999967,,,0,9481307.142857142,9481307.142857142,1
loss-10pct-moqrs,1,pass,mismatch,13969007.0,13969007.0,1,102.576,102.576,1,1,0.999967,,,0,12455040.150211236,12455040.150211236,1
loss-1pct-chain,1,pass,mismatch,14245400.0,14245400.0,1,10.4678,10.4678,1,1,0.999967,,,0,8901549.960108504,8901549.960108504,1
loss-1pct-fanout-3sub,1,fail,mismatch,14852092.0,14852092.0,1,8.0045,8.0045,1,1,0.999967,,,0,,,0
loss-1pct-fanout-3sub-asymmetric,1,partial,mismatch,2644573.0,2644573.0,1,46.2976,46.2976,1,1,0.17918,,,0,139.92395437262357,139.92395437262357,1
loss-1pct-imquic-relay,1,fail,mismatch,0.0,0.0,1,10.29,10.29,1,1,0.0,,,0,,,0
loss-1pct-imquic-self,1,pass,mismatch,2653.0,2653.0,1,9.218,9.218,1,1,6.1e-05,,,0,2653.1051344743278,2653.1051344743278,1
loss-1pct-imquic-sub,1,fail,mismatch,183.0,183.0,1,48.6885,48.6885,1,1,1.2e-05,,,0,183.21422635865048,183.21422635865048,1
loss-1pct-moqrs,1,pass,mismatch,14452958.0,14452958.0,1,225.0938,225.0938,1,1,0.999967,,,0,13191506.686093573,13191506.686093573,1
loss-1pct-moxygen-relay,1,fail,mismatch,0.0,0.0,1,,,0,1,0.0,,,0,,,0
loss-1pct-moxygen-relay-imquic-sub,1,fail,mismatch,109.0,109.0,1,,,0,1,7e-06,,,0,109.71353309186696,109.71353309186696,1
loss-1pct-moxygen-self,1,fail,mismatch,0.0,0.0,1,,,0,1,0.0,,,0,,,0
loss-20pct-moqrs,1,pass,mismatch,24246585.0,24246585.0,1,7.4317,7.4317,1,1,0.999967,,,0,23872647.691472027,23872647.691472027,1
loss-2pct-moqrs,1,pass,mismatch,29318859.0,29318859.0,1,7.6969,7.6969,1,1,0.999967,,,0,29151546.009852216,29151546.009852216,1
loss-5pct-chain,1,pass,mismatch,14146082.0,14146082.0,1,146.542,146.542,1,1,0.999967,,,0,9041054.539692601,9041054.539692601,1
loss-5pct-fanout-3sub,1,partial,mismatch,2800515.0,2800515.0,1,113.3676,113.3676,1,1,0.18893,,,0,140.5279760916487,140.5279760916487,1
loss-5pct-imquic-self,1,pass,mismatch,2725.0,2725.0,1,53.835,53.835,1,1,6.3e-05,,,0,2725.4634146341464,2725.4634146341464,1
loss-5pct-moqrs,1,partial,mismatch,2529803.0,2529803.0,1,174.8206,174.8206,1,1,0.171149,,,0,140.13245033112582,140.13245033112582,1
loss-5pct-moxygen-self,1,fail,mismatch,0.0,0.0,1,,,0,1,0.0,,,0,,,0
