run_id,n,statuses,verdicts,throughput_p50,throughput_p95,throughput_n,rtt_p50,rtt_p95,rtt_n,ttfo_n_null,delfrac_p50,jain_min,jain_p50,jain_n,artifact_thr_p50,artifact_thr_p95,artifact_thr_n
h2-bw5,3,pass+pass+pass,exact+exact+exact,718019.0,805051.7,3,,,0,3,1.003251,,,0,718019.3867457963,805052.0396846806,3
h2-clean,3,pass+pass+pass,exact+exact+exact,606954.0,673571.1,3,,,0,3,1.003251,,,0,606954.5150501672,673571.474019088,3
h2-clean-10s,3,pass+pass+pass,exact+exact+exact,230055.0,263080.5,3,,,0,3,1.006761,,,0,230055.02645502647,263081.33086636156,3
h2-fanout-3,3,pass+pass+pass,exact+exact+exact,2608087.0,3048827.8,3,,,0,3,3.009752,1.0,1.0,3,2608087.1856287424,3048827.9504263164,3
h2-loss1,3,pass+pass+pass,exact+exact+exact,598448.0,648956.9,3,,,0,3,1.003251,,,0,598448.1450948062,648957.3843922579,3
h3-bw5,3,pass+pass+pass,exact+exact+exact,907397.0,967687.1,3,,,0,3,1.003251,,,0,907397.0,967687.1362416106,3
h3-clean,3,pass+pass+pass,exact+exact+exact,896194.0,1176683.5,3,,,0,3,1.003251,,,0,896194.5679012346,1176684.0824140836,3
h3-clean-10s,3,pass+pass+pass,exact+exact+exact,198088.0,237210.1,3,,,0,3,1.006761,,,0,198088.3826879271,237210.8382687927,3
h3-fanout-3,3,pass+pass+pass,exact+exact+exact,3653947.0,4223617.3,3,,,0,3,3.009752,1.0,1.0,3,3653947.6510067116,4223618.2296676,3
h3-loss1,3,pass+pass+pass,exact+exact+exact,858058.0,871998.1,3,,,0,3,1.003251,,,0,858058.6288416075,871998.2094545579,3
moq-bw5,3,partial+partial+partial,mismatch+mismatch+mismatch,3087.0,3090.6,3,21.6101,21.6101,3,3,0.01734,,,0,3075.5905511811025,3079.000296803254,3
moq-clean,3,partial+partial+partial,mismatch+mismatch+mismatch,3087.0,3106.8,3,28.1071,28.1071,3,3,0.01734,,,0,3075.5905511811025,3095.4847056757308,3
moq-clean-10s,3,partial+partial+partial,mismatch+mismatch+mismatch,4472.0,4570.1,3,8.179,8.179,3,3,0.106668,,,0,4365.436893203883,4461.168254213477,3
moq-fanout-10s,3,partial+fail+fail,mismatch+mismatch+mismatch,41337.0,53030.7,3,27.3921,27.3921,3,3,0.960008,1.0,1.0,3,13329.249011857708,13436.892996898632,3
moq-fanout-3,3,partial+partial+partial,mismatch+mismatch+mismatch,27723.0,36621.3,3,30.1251,42.99159,3,3,0.156057,1.0,1.0,3,9320.805369127518,9362.717559146076,3
moq-loss1,3,partial+partial+partial,mismatch+mismatch+mismatch,3110.0,3110.0,3,33.4951,33.4951,3,3,0.01734,,,0,3099.2313414331766,3099.2313414331766,3
