run_id,n,statuses,verdicts,throughput_p50,throughput_p95,throughput_n,rtt_p50,rtt_p95,rtt_n,ttfo_n_null,delfrac_p50,jain_min,jain_p50,jain_n,artifact_thr_p50,artifact_thr_p95,artifact_thr_n
h2-bw5,2,pass+pass,exact+exact,1035545.0,1035545.0,2,,,0,2,1.003251,,,0,1035545.7917261056,1035545.7917261056,2
h2-clean,2,pass+pass,exact+exact,1122703.5,1201146.15,2,,,0,2,1.003251,,,0,1122704.2291963862,1201146.8229196388,2
h2-clean-10s,2,pass+pass,exact+exact,289869.0,289869.0,2,,,0,2,1.006761,,,0,289869.3333333333,289869.3333333333,2
h2-fanout-3,2,pass+pass,exact+exact,3330430.0,3594236.1999999997,2,,,0,2,3.009752,1.0,1.0,2,3330430.4429855403,3594236.9211704344,2
h2-loss1,2,pass+pass,exact+exact,752842.0,886868.2000000001,2,,,0,2,1.003251,,,0,752842.8929010655,886869.1837000444,2
h3-bw5,2,pass+pass,exact+exact,764543.5,799959.8500000001,2,,,0,2,1.003251,,,0,764543.9335857942,799960.306979842,2
h3-clean,2,pass+pass,exact+exact,921508.5,1024141.3500000001,2,,,0,2,1.003251,,,0,921509.0471422519,1024142.1172677203,2
h3-clean-10s,2,pass+pass,exact+exact,288434.0,289725.5,2,,,0,2,1.006761,,,0,288434.3366336634,289725.8336633663,2
h3-fanout-3,2,pass+pass,exact+exact,2734079.0,3045652.7,2,,,0,2,3.009752,1.0,1.0,2,2734079.771830566,3045653.4085833393,2
h3-loss1,2,pass+pass,exact+exact,691363.0,721809.1000000001,2,,,0,2,1.003251,,,0,691363.232781711,721809.490111338,2
lldash-h2-basic-clean,1,pass,exact,958940.0,958940.0,1,,,0,1,1.003251,,,0,958940.0264200792,958940.0264200792,1
lldash-h2-bw5,1,pass,exact,1034070.0,1034070.0,1,,,0,1,1.003251,,,0,1034070.6552706553,1034070.6552706553,1
lldash-h2-chain,1,pass,exact,1015269.0,1015269.0,1,,,0,1,1.003251,,,0,1015269.3706293706,1015269.3706293706,1
lldash-h2-clean,1,pass,exact,1034070.0,1034070.0,1,,,0,1,1.003251,,,0,1034070.6552706553,1034070.6552706553,1
lldash-h2-fanout-3,1,pass,exact,3106637.0,3106637.0,1,,,0,1,3.009752,1.0,1.0,1,3106637.3751783166,3106637.3751783166,1
lldash-h2-late-join-5s,1,pass,good,7038418.0,7038418.0,1,,,0,1,2.976587,0.9998,0.9998,1,7038418.300653595,7038418.300653595,1
lldash-h2-loss1,1,pass,exact,998511.0,998511.0,1,,,0,1,1.003251,,,0,998511.1416781293,998511.1416781293,1
lldash-h3-basic-clean,1,pass,exact,1205843.0,1205843.0,1,,,0,1,1.003251,,,0,1205843.189368771,1205843.189368771,1
lldash-h3-bw5,1,pass,exact,931858.0,931858.0,1,,,0,1,1.003251,,,0,931858.2798459564,931858.2798459564,1
lldash-h3-chain,1,pass,exact,1205843.0,1205843.0,1,,,0,1,1.003251,,,0,1205843.189368771,1205843.189368771,1
lldash-h3-clean,1,pass,exact,1120243.0,1120243.0,1,,,0,1,1.003251,,,0,1120243.2098765431,1120243.2098765431,1
lldash-h3-fanout-3,1,pass,exact,3397430.0,3397430.0,1,,,0,1,3.009752,1.0,1.0,1,3397430.2652106085,3397430.2652106085,1
lldash-h3-late-join-5s,1,pass,good,7108105.0,7108105.0,1,,,0,1,2.976587,0.9998,0.9998,1,7108105.610561057,7108105.610561057,1
lldash-h3-loss1,1,pass,exact,1190028.0,1190028.0,1,,,0,1,1.003251,,,0,1190028.8524590165,1190028.8524590165,1
moq-bw5,2,fail+fail,mismatch+mismatch,180518.0,180518.0,2,25.5114,38.65032,2,2,0.998687,,,0,180518.41119160628,180518.41119160628,2
moq-clean,2,pass+fail,good+mismatch,2357641.0,2361102.4,2,12.6411,13.929179999999999,2,2,0.998687,,,0,2337907.1214153413,2352068.2365715015,2
moq-clean-10s,2,pass+pass,good+good,286333.0,286333.0,2,32.5878,32.5878,2,2,0.997796,,,0,285600.0,285600.0,2
moq-fanout-10s,2,fail+fail,mismatch+mismatch,429500.0,558350.3,2,22.5952,26.55529,2,2,1.4966935,,,0,285600.0,285600.0,2
moq-fanout-3,2,fail+fail,mismatch+mismatch,3515433.0,4574618.7,2,35.2732,35.2732,2,2,1.49803,,,0,2303398.4281091075,2306305.557096625,2
moq-loss1,2,pass+fail,good+mismatch,1258206.0,2230524.6,2,17.4312,25.3683,2,2,0.998687,,,0,1241474.914752837,2228714.481766546,2
