run_id,n,statuses,verdicts,throughput_p50,throughput_p95,throughput_n,rtt_p50,rtt_p95,rtt_n,ttfo_n_null,delfrac_p50,jain_min,jain_p50,jain_n,artifact_thr_p50,artifact_thr_p95,artifact_thr_n
bw5-queue10,1,pass,good,286333.0,286333.0,1,97.3781,97.3781,1,1,0.997796,,,0,285600.0,285600.0,1
bw5-queue100,1,pass,mismatch,286333.0,286333.0,1,51.2754,51.2754,1,1,0.997796,,,0,285600.0,285600.0,1
bw5-queue1000,1,pass,good,286333.0,286333.0,1,123.4603,123.4603,1,1,0.997796,,,0,285600.0,285600.0,1
bw50-queue10,1,pass,good,286333.0,286333.0,1,45.0774,45.0774,1,1,0.997796,,,0,285600.0,285600.0,1
bw50-queue100,1,pass,good,286333.0,286333.0,1,50.8269,50.8269,1,1,0.997796,,,0,285600.0,285600.0,1
bw50-queue1000,1,pass,good,286333.0,286333.0,1,17.5906,17.5906,1,1,0.997796,,,0,285600.0,285600.0,1
queue-10,1,pass,good,286333.0,286333.0,1,55.4933,55.4933,1,1,0.997796,,,0,285600.0,285600.0,1
queue-10-chain,1,pass,good,285385.0,285385.0,1,107.7924,107.7924,1,1,0.997796,,,0,284654.3046357616,284654.3046357616,1
queue-10-fanout,1,pass,mismatch,285385.0,285385.0,1,70.1763,70.1763,1,1,0.997796,,,0,284654.3046357616,284654.3046357616,1
queue-10-moxygen-self,1,fail,mismatch,0.0,0.0,1,,,0,1,0.0,,,0,,,0
queue-100,1,pass,mismatch,286333.0,286333.0,1,67.2857,67.2857,1,1,0.997796,,,0,285600.0,285600.0,1
queue-100-chain,1,pass,good,286333.0,286333.0,1,59.1309,59.1309,1,1,0.997796,,,0,285600.0,285600.0,1
queue-100-fanout,1,pass,mismatch,14323.0,14323.0,1,46.2243,46.2243,1,1,0.997796,,,0,12872.195446235664,12872.195446235664,1
queue-100-imquic-self,1,pass,mismatch,2659.0,2659.0,1,97.086,97.086,1,1,0.064656,,,0,2659.4285714285716,2659.4285714285716,1
queue-100-moxygen-self,1,fail,mismatch,0.0,0.0,1,,,0,1,0.0,,,0,,,0
queue-1000,1,pass,good,286333.0,286333.0,1,65.6481,65.6481,1,1,0.997796,,,0,285600.0,285600.0,1
queue-1000-chain,1,pass,good,286333.0,286333.0,1,48.637,48.637,1,1,0.997796,,,0,285600.0,285600.0,1
queue-1000-fanout,1,pass,mismatch,286333.0,286333.0,1,12.7026,12.7026,1,1,0.997796,,,0,285600.0,285600.0,1
queue-1000-imquic-self,1,pass,mismatch,2679.0,2679.0,1,59.788,59.788,1,1,0.062822,,,0,2679.703703703704,2679.703703703704,1
queue-1000-moxygen-self,1,fail,mismatch,0.0,0.0,1,,,0,1,0.0,,,0,,,0
queue-20,1,pass,good,284443.0,284443.0,1,9.1406,9.1406,1,1,0.997796,,,0,283714.85148514854,283714.85148514854,1
queue-200,1,pass,good,286333.0,286333.0,1,11.5658,11.5658,1,1,0.997796,,,0,285600.0,285600.0,1
queue-50,1,pass,good,286333.0,286333.0,1,11.2112,11.2112,1,1,0.997796,,,0,285600.0,285600.0,1
queue-500,1,pass,good,286333.0,286333.0,1,55.8926,55.8926,1,1,0.997796,,,0,285600.0,285600.0,1
