run_id,n,statuses,verdicts,throughput_p50,throughput_p95,throughput_n,rtt_p50,rtt_p95,rtt_n,ttfo_n_null,delfrac_p50,jain_min,jain_p50,jain_n,artifact_thr_p50,artifact_thr_p95,artifact_thr_n
h2-bw5,3,pass+pass+pass,exact+exact+exact,904006.0,1005422.5,3,,,0,3,1.003251,,,0,904006.9738480698,1005422.8822587566,3
h2-clean,3,pass+pass+pass,exact+exact+exact,873547.0,988493.2,3,,,0,3,1.003251,,,0,873547.0517448856,988493.7948296609,3
h2-clean-10s,3,pass+pass+pass,exact+exact+exact,271752.0,274066.8,3,,,0,3,1.006761,,,0,271752.5,274067.11119873816,3
h2-fanout-3,3,pass+pass+pass,exact+exact+exact,3050073.0,3073337.1,3,,,0,3,3.009752,1.0,1.0,3,3050073.949579832,3073337.2254664577,3
h2-loss1,3,pass+pass+pass,exact+exact+exact,722306.0,749954.0,3,,,0,3,1.003251,,,0,722306.0696517412,749954.5073801118,3
h3-bw5,3,pass+pass+pass,exact+exact+exact,890696.0,981590.6,3,,,0,3,1.003251,,,0,890696.4417177914,981591.2835160415,3
h3-clean,3,pass+pass+pass,exact+exact+exact,1195910.0,1199467.7,3,,,0,3,1.003251,,,0,1195910.3789126852,1199468.4593788718,3
h3-clean-10s,3,pass+pass+pass,exact+exact+exact,288906.0,288906.0,3,,,0,3,1.006761,,,0,288906.31229235884,288906.31229235884,3
h3-fanout-3,3,pass+pass+pass,exact+exact+exact,4101229.0,4150537.3,3,,,0,3,3.009752,1.0,1.0,3,4101229.3785310737,4150538.052356924,3
h3-loss1,3,pass+pass+pass,exact+exact+exact,1180353.0,1192584.0,3,,,0,3,1.003251,,,0,1180353.8211382113,1192584.4610611896,3
moq-bw5,3,fail+fail+fail,mismatch+mismatch+mismatch,2223431.0,2340758.6,3,7.4881,7.4881,3,3,0.998687,,,0,2148521.846153846,2298480.5885241795,3
moq-clean,3,fail+pass+fail,mismatch+good+mismatch,2331016.0,2344639.3,3,28.2512,28.2512,3,3,0.998687,,,0,2330864.5161290322,2344486.4516129033,3
moq-clean-10s,3,pass+pass+pass,good+good+good,286333.0,286333.0,3,12.7162,25.39891,3,3,0.997796,,,0,285600.0,285600.0,3
moq-fanout-10s,3,fail+fail+fail,mismatch+mismatch+mismatch,561474.0,816615.0,3,11.9409,11.9409,3,3,1.995591,1.0,1.0,1,283714.85148514854,788190.3086779265,3
moq-fanout-3,3,fail+fail+fail,mismatch+mismatch+mismatch,2353795.0,4458454.899999999,3,27.3171,29.65737,3,3,1.997373,0.9994,0.9994,1,2309776.6233766233,2349255.18676763,3
moq-loss1,3,pass+pass+pass,good+good+good,2316074.0,2350022.9000000004,3,26.9015,29.421499999999998,3,3,0.998687,,,0,2315923.076923077,2349869.832122275,3
